ID,First_Name,Mid_Name,Last_Name,Percentage,Collegeid
400501,Yash,Ishaan,Gupta,97.43,1
400502,Devika,Yash,Jindal,97.43,1
400503,Atharva,Aarav,Pandey,97.43,1
400504,Manish,Rishabh,Trivedi,97.4,1
400505,Zoya,Tanish,Chatterjee,97.4,1
400506,Dev,Ishan,Xavier,97.4,1
400507,Ekta,Shivansh,Pandey,97.4,1
400508,Navya,Gautam,Ranganathan,97.4,1
400509,Zoya,Siddharth,Zala,97.4,1
400510,Yash,Samarth,Ranganathan,97.39,1
400511,Atharva,Pratik,Dutta,97.39,1
400512,Ansh,Virat,Fernandes,97.39,1
400513,Chirag,Jay,Jha,97.39,1
400514,Samarth,Siddharth,Mehta,97.39,1
400515,Qirat,Shubham,Dubey,97.37,1
400516,Kanika,Manish,Rastogi,97.37,1
400517,Bhavika,Raj,Dutta,97.35,1
400518,Tejas,Nirav,Khanna,97.35,1
400519,Meher,Aadi,Mehta,97.35,1
400520,Zayn,Jay,Mahajan,97.35,1
400521,Ayush,Om,Khanna,97.35,1
400522,Vedika,Brijesh,Chopra,97.33,1
400523,Chandan,Divyansh,Ojha,97.33,1
400524,Zayn,Utkarsh,Badal,97.33,1
400525,Krish,Jai,Dubey,97.33,1
400526,Eesha,Mayank,Sethi,97.33,1
400527,Om,Tejas,Zaveri,97.33,1
400528,Laksh,Kunal,Qazi,97.33,1
400529,Arya,Devansh,Inamdar,97.33,1
400530,Om,Akshay,Kothari,97.33,1
400531,Mohit,Kavya,Sondhi,97.33,1
400532,Pari,Lokesh,Chauhan,97.33,1
400533,Aishwarya,Nirav,Qazi,97.33,1
400534,Jai,Jay,Rastogi,97.31,1
400535,Nisha,Mohit,Xavier,97.31,1
400536,Ayush,Aarush,Patel,97.31,1
400537,Dhruv,Atharva,Edara,97.31,1
400538,Devansh,Zorawar,Kamble,97.3,1
400539,Pari,Dhruv,Iyer,97.3,1
400540,Lakshmi,Kunal,Nair,97.3,1
400541,Meher,Ayush,Badal,97.28,1
400542,Ira,Pratham,Gupta,97.27,1
400543,Rishabh,Aarav,Talwar,97.27,2
400544,Navya,Sahil,Uppal,97.27,2
400545,Ayushman,Aryan,Arora,97.26,2
400546,Bhavya,Laksh,Mahajan,97.24,2
400547,Kunal,Atharva,Desai,97.24,2
400548,Vishal,Mayank,Roy,97.24,2
400549,Chahat,Aadi,Verma,97.24,2
400550,Devika,Aarush,Vaghela,97.24,2
400551,Trisha,Naman,Xalxo,97.24,2
400552,Kunal,Aarav,Zala,97.24,2
400553,Aditya,Rishabh,Khan,97.22,2
400554,Urvashi,Shivansh,Yagnik,97.22,2
400555,Rohit,Aayush,Iyer,97.22,2
400556,Ansh,Ishaan,Dara,97.22,2
400557,Aniket,Aryan,Mazumdar,97.22,2
400558,Uma,Utkarsh,Banerjee,97.22,2
400559,Yuvan,Akshay,Shah,97.22,2
400560,Laksh,Vivaan,Chatterjee,97.22,2
400561,Aayush,Lokesh,Mahajan,97.22,2
400562,Devika,Akshay,Ahuja,97.19,2
400563,Aditya,Kunal,Lal,97.19,2
400564,Lokesh,Harsh,Shah,97.19,2
400565,Harsh,Kunal,Yadav,97.19,2
400566,Harshita,Vishal,Banerjee,97.19,2
400567,Jatin,Om,Kothari,97.19,2
400568,Eva,Zivaan,Inamdar,97.19,2
400569,Sakshi,Pratham,Pandey,97.19,2
400570,Ananya,Kunal,Mehta,97.19,2
400571,Chandan,Samarth,Patel,97.19,2
400572,Zainab,Om,Bhattacharya,97.19,2
400573,Ishan,Yuvan,Bhattacharya,97.19,2
400574,Ekansh,Kunal,Reddy,97.16,2
400575,Charvi,Brijesh,Mazumdar,97.16,2
400576,Abhinav,Jay,Shah,97.14,2
400577,Gautam,Krish,Verma,97.14,2
400578,Kyra,Virat,Joshi,97.14,3
400579,Eva,Vivaan,Mehta,97.14,3
400580,Ishan,Brijesh,Talwar,97.14,3
400581,Tanish,Mohit,Sinha,97.14,3
400582,Aryan,Ayush,Varma,97.14,3
400583,Ayush,Dhruv,Uppal,97.12,3
400584,Mehak,Akash,Rao,97.12,3
400585,Sia,Yash,Kulkarni,97.12,3
400586,Jiya,Zivaan,Banerjee,97.11,3
400587,Zainab,Abhinav,Kamble,97.1,3
400588,Yash,Aniket,Fernandes,97.1,3
400589,Samarth,Devansh,Kumar,97.1,3
400590,Devansh,Nirav,Sehgal,97.07,3
400591,Niyati,Tanish,Yagnik,97.07,3
400592,Raj,Bhavya,Singh,97.07,3
400593,Bhavya,Chandan,Sachdev,97.07,3
400594,Trisha,Utkarsh,Inamdar,97.05,3
400595,Neha,Lokesh,Mehta,97.05,3
400596,Shivansh,Brijesh,Sethi,97.05,3
400597,Ishika,Utkarsh,Bhat,97.05,3
400598,Urvashi,Ishaan,Kamble,97.05,3
400599,Zorawar,Vivaan,Loya,97.05,3
400600,Aditi,Virat,Edara,97.05,3
400601,Divya,Siddharth,Yadav,97.05,3
400602,Aditi,Eshan,Yadav,97.05,3
400603,Yash,Laksh,Verma,97.05,3
400604,Aarav,Manish,Khanna,97.05,3
400605,Dev,Chandan,Reddy,97.04,3
400606,Ishita,Kunal,Loya,97.04,3
400607,Ekansh,Vishal,Arora,97.04,3
400608,Gaurav,Lokesh,Zaveri,97.04,3
400609,Meher,Advait,Jha,97.04,3
400610,Anika,Ishaan,Sehgal,97.04,3
400611,Eesha,Ayush,Mukherjee,97.04,3
400612,Dhruv,Abhishek,Dey,97.04,3
400613,Hemangi,Abhishek,Yadav,97.04,3
400614,Ishaan,Brijesh,Xavier,97.04,3
400615,Gaurav,Vivaan,Jha,97.04,3
400616,Hitesh,Yash,Zaveri,97.04,3
400617,Darshan,Advait,Trivedi,97.04,3
400618,Vivaan,Jatin,Sethi,97.04,3
400619,Vrinda,Aayush,Qazi,97.04,4
400620,Amaira,Akash,Patel,97.03,4
400621,Meher,Parth,Ranganathan,97.03,4
400622,Samarth,Laksh,Wadhwa,97.02,4
400623,Navya,Ritvik,Loya,97.02,4
400624,Tanya,Ayush,Ojha,97.02,4
400625,Hrithik,Jai,Sinha,97.02,4
400626,Tanya,Sahil,Das,97.01,4
400627,Divyansh,Ekansh,Verma,97.01,4
400628,Kritika,Lokesh,Kulkarni,97.01,4
400629,Nisha,Raj,Goswami,97.01,4
400630,Zainab,Vishal,Sethi,97.01,4
400631,Aditi,Tejas,Mahajan,97.01,4
400632,Pihu,Aryan,Arora,97.01,4
400633,Zoya,Vishal,Ranganathan,96.99,4
400634,Vrinda,Aniket,Singh,96.97,4
400635,Bhavika,Aadi,Chauhan,96.97,4
400636,Ojasvi,Harsh,Uday,96.94,4
400637,Kavya,Ritvik,Loya,96.94,4
400638,Divyansh,Lokesh,Edara,96.92,4
400639,Vishal,Ojas,Chopra,96.92,4
400640,Zara,Ekansh,Talwar,96.92,4
400641,Dhruv,Surya,Chopra,96.92,4
400642,Zayn,Om,Bajaj,96.89,4
400643,Yashi,Mayank,Tiwari,96.89,4
400644,Yug,Naman,Rastogi,96.88,4
400645,Ekansh,Shivansh,Yadav,96.88,4
400646,Ishita,Ayushman,Patel,96.88,4
400647,Manish,Vivaan,Goswami,96.88,4
400648,Harshita,Zayn,Ojha,96.88,4
400649,Shivansh,Hitesh,Agarwal,96.88,4
400650,Chirag,Yash,Iyer,96.88,4
400651,Bhavin,Aditya,Yadav,96.88,4
400652,Kunal,Hitesh,Chopra,96.88,4
400653,Ira,Ojas,Kamble,96.88,4
400654,Saanvi,Jatin,Sehgal,96.88,5
400655,Kiara,Pratik,Sharma,96.88,5
400656,Harsh,Yash,Gupta,96.88,5
400657,Ishita,Gautam,Sachdev,96.88,5
400658,Lavanya,Laksh,Sinha,96.88,5
400659,Kritika,Krish,Singh,96.88,5
400660,Ritvik,Aryan,Dutta,96.87,5
400661,Kunal,Pratham,Verma,96.87,5
400662,Divya,Akshay,Yagnik,96.87,5
400663,Divyansh,Kunal,Nair,96.87,5
400664,Virat,Gaurav,Rao,96.87,5
400665,Yuvika,Samarth,Shah,96.87,5
400666,Zayn,Abhinav,Fernandes,96.87,5
400667,Ansh,Jay,Trivedi,96.87,5
400668,Meher,Yash,Rastogi,96.85,5
400669,Urvashi,Pratham,Rastogi,96.85,5
400670,Yuvan,Krish,Sachdev,96.85,5
400671,Yuvika,Manish,Chopra,96.84,5
400672,Parth,Manish,Malhotra,96.84,5
400673,Varun,Aditya,Khanna,96.84,5
400674,Ritvik,Gaurav,Rao,96.84,5
400675,Ishan,Jay,Mittal,96.84,5
400676,Gautam,Karan,Ojha,96.84,5
400677,Parth,Abhishek,Bhat,96.84,5
400678,Mehak,Aayush,Chatterjee,96.84,5
400679,Parth,Parth,Mahajan,96.84,5
400680,Advika,Aryan,Pai,96.84,5
400681,Radhika,Shubham,Walunj,96.84,5
400682,Arjun,Ansh,Shah,96.83,5
400683,Jiya,Kunal,Dara,96.83,5
400684,Surya,Samarth,Patel,96.8,5
400685,Riya,Aniket,Pandey,96.8,5
400686,Dev,Divyansh,Sinha,96.77,5
400687,Pihu,Ishan,Khanna,96.77,5
400688,Abhinav,Jay,Nair,96.77,5
400689,Ritvik,Ekansh,Bose,96.77,5
400690,Laksh,Neel,Kamble,96.77,5
400691,Ananya,Karan,Kulkarni,96.77,5
400692,Aaradhya,Ojas,Bajaj,96.74,6
400693,Pranav,Aarush,Bajaj,96.72,6
400694,Tanisha,Surya,Joshi,96.72,6
400695,Pratik,Shubham,Jain,96.72,6
400696,Lokesh,Neel,Malhotra,96.72,6
400697,Trisha,Akshay,Pillai,96.72,6
400698,Anika,Akash,Gupta,96.72,6
400699,Urvashi,Aarush,Kumar,96.72,6
400700,Vishal,Surya,Rastogi,96.72,6
400701,Eva,Rishabh,Roy,96.72,6
400702,Manish,Krish,Lal,96.72,6
400703,Pari,Aryan,Dey,96.7,6
400704,Naman,Zivaan,Goswami,96.7,6
400705,Arya,Mayank,Wadhwa,96.7,6
400706,Garima,Ayushman,Desai,96.7,6
400707,Yuvan,Aniket,Arora,96.7,6
400708,Saanvi,Aditya,Chopra,96.7,6
400709,Meher,Neel,Mehta,96.7,6
400710,Vidhi,Divyansh,Rastogi,96.7,6
400711,Aaradhya,Jay,Mehta,96.7,6
400712,Om,Naman,Kumar,96.68,6
400713,Advika,Darshan,Nagpal,96.65,6
400714,Aarav,Pranav,Yadav,96.65,6
400715,Kavya,Ayush,Uppal,96.65,6
400716,Vidhi,Devansh,Chatterjee,96.65,6
400717,Zoya,Eshan,Yadav,96.65,6
400718,Tanish,Ayushman,Fadnavis,96.65,6
400719,Chirag,Parth,Yagnik,96.65,6
400720,Sahil,Surya,Chopra,96.65,6
400721,Ishita,Advait,Kulkarni,96.65,6
400722,Darshan,Yash,Roy,96.65,6
400723,Bhavika,Yash,Wadhwa,96.62,6
400724,Sanya,Vishal,Mehta,96.61,6
400725,Eshan,Virat,Dey,96.59,6
400726,Laksh,Jay,Khanna,96.59,6
400727,Kanika,Jatin,Rastogi,96.59,6
400728,Anika,Dev,Verma,96.59,6
400729,Yuvika,Ekansh,Rao,96.59,6
400730,Chahat,Zorawar,Sachdev,96.59,6
400731,Niyati,Jatin,Dey,96.59,6
400732,Arya,Ojas,Ojha,96.59,6
400733,Hrithik,Aadi,Dubey,96.59,7
400734,Tanish,Samarth,Khanna,96.59,7
400735,Vishal,Raj,Uday,96.59,7
400736,Dhruv,Rohit,Nanda,96.59,7
400737,Sanya,Abhishek,Mehta,96.59,7
400738,Eva,Divyansh,Pillai,96.59,7
400739,Hitesh,Parth,Kothari,96.59,7
400740,Zara,Hitesh,Pandey,96.59,7
400741,Ayushman,Jatin,Bhattacharya,96.59,7
400742,Krish,Bhavya,Kulkarni,96.59,7
400743,Yuvika,Shivansh,Agarwal,96.59,7
400744,Samarth,Gaurav,Zala,96.59,7
400745,Yug,Vivaan,Bhattacharya,96.59,7
400746,Advika,Yug,Zaveri,96.59,7
400747,Divya,Sahil,Dutta,96.59,7
400748,Nirav,Virat,Nair,96.59,7
400749,Aditya,Raj,Shah,96.59,7
400750,Aanya,Abhishek,Sethi,96.59,7
400751,Ritika,Manish,Tiwari,96.59,7
400752,Advait,Brijesh,Wadhwa,96.59,7
400753,Garima,Gautam,Rastogi,96.59,7
400754,Janvi,Varun,Bajaj,96.59,7
400755,Parth,Eshan,Bose,96.59,7
400756,Harsh,Kunal,Arora,96.59,7
400757,Ira,Akshay,Pai,96.59,7
400758,Sia,Mohit,Arora,96.59,7
400759,Varun,Kavya,Varma,96.59,7
400760,Ira,Tanish,Yagnik,96.59,7
400761,Om,Pranav,Malhotra,96.59,7
400762,Nirav,Abhinav,Pillai,96.56,7
400763,Tanisha,Mayank,Ranganathan,96.56,7
400764,Zara,Nirav,Rastogi,96.56,7
400765,Aanya,Virat,Ojha,96.56,7
400766,Aadi,Bhavya,Nagpal,96.56,7
400767,Lavanya,Krish,Zaveri,96.53,7
400768,Bhavya,Shivansh,Nair,96.52,7
400769,Jay,Siddharth,Mazumdar,96.52,7
400770,Sanya,Aditya,Verma,96.52,7
400771,Trisha,Yuvan,Joshi,96.52,7
400772,Hemangi,Naman,Dubey,96.52,8
400773,Zayn,Hitesh,Sehgal,96.52,8
400774,Kunal,Dev,Singh,96.49,8
400775,Bhavya,Advait,Yadav,96.47,8
400776,Ira,Laksh,Kapoor,96.47,8
400777,Shivansh,Advait,Chopra,96.47,8
400778,Jay,Devansh,Banerjee,96.46,8
400779,Ojasvi,Darshan,Talwar,96.46,8
400780,Radhika,Yuvan,Talwar,96.46,8
400781,Shubham,Jay,Singh,96.46,8
400782,Aditya,Kunal,Gupta,96.44,8
400783,Krish,Aniket,Patel,96.44,8
400784,Navya,Siddharth,Nanda,96.44,8
400785,Pratik,Surya,Mukherjee,96.44,8
400786,Pranav,Harsh,Bose,96.44,8
400787,Neha,Tanish,Jain,96.44,8
400788,Riya,Lokesh,Iyer,96.44,8
400789,Hemangi,Varun,Mittal,96.44,8
400790,Garima,Siddharth,Varma,96.44,8
400791,Aditi,Hitesh,Mehta,96.44,8
400792,Inaya,Ritvik,Oberoi,96.44,8
400793,Bhavya,Harsh,Sethi,96.44,8
400794,Zivaan,Yug,Talwar,96.44,8
400795,Akash,Samarth,Bose,96.44,8
400796,Jatin,Yug,Choudhury,96.44,8
400797,Jatin,Rohit,Chopra,96.44,8
400798,Pranav,Yuvan,Jain,96.42,8
400799,Sanya,Arjun,Pai,96.42,8
400800,Pranavi,Akash,Khanna,96.42,8
400801,Krish,Varun,Kothari,96.42,8
400802,Pranav,Jatin,Fernandes,96.42,8
400803,Ayush,Nirav,Chopra,96.42,8
400804,Akshay,Hitesh,Vaghela,96.39,8
400805,Darshan,Siddharth,Mahajan,96.39,8
400806,Urvashi,Devansh,Kamble,96.39,8
400807,Zayn,Aditya,Kapoor,96.39,8
400808,Rohit,Ayushman,Zaveri,96.39,8
400809,Pari,Chirag,Fernandes,96.39,8
400810,Ojas,Hrithik,Joshi,96.39,8
400811,Jiya,Aadi,Kothari,96.39,8
400812,Ishika,Raj,Reddy,96.39,8
400813,Aarush,Brijesh,Sachdev,96.39,8
400814,Sakshi,Arjun,Halder,96.39,8
400815,Abhishek,Dhruv,Xavier,96.39,8
400816,Aarav,Bhavin,Bose,96.39,9
400817,Yashi,Abhishek,Zaveri,96.39,9
400818,Ayush,Utkarsh,Dey,96.39,9
400819,Dev,Naman,Inamdar,96.39,9
400820,Kanika,Zorawar,Mittal,96.39,9
400821,Karan,Rishabh,Iyer,96.39,9
400822,Mohit,Karan,Vaghela,96.39,9
400823,Siddharth,Raj,Agarwal,96.39,9
400824,Arjun,Jai,Kamble,96.39,9
400825,Zayn,Pranav,Sehgal,96.39,9
400826,Ananya,Aditya,Qazi,96.39,9
400827,Arya,Kavya,Rastogi,96.39,9
400828,Harsh,Varun,Dey,96.39,9
400829,Varun,Ayushman,Zaveri,96.39,9
400830,Bhavya,Varun,Xavier,96.38,9
400831,Bhavya,Surya,Inamdar,96.38,9
400832,Yuvan,Rishabh,Pai,96.38,9
400833,Advait,Darshan,Qazi,96.38,9
400834,Aarav,Zivaan,Kothari,96.38,9
400835,Nirav,Zivaan,Verma,96.38,9
400836,Advait,Kunal,Yadav,96.38,9
400837,Nirav,Yug,Kapoor,96.36,9
400838,Aryan,Abhinav,Sondhi,96.36,9
400839,Kanika,Om,Sehgal,96.33,9
400840,Lakshmi,Varun,Banerjee,96.33,9
400841,Riya,Vishal,Sharma,96.33,9
400842,Aarush,Aditya,Kothari,96.33,9
400843,Eshan,Ojas,Qazi,96.33,9
400844,Aditya,Pratik,Mazumdar,96.33,9
400845,Bhavya,Neel,Sethi,96.33,9
400846,Zoya,Jay,Mukherjee,96.32,9
400847,Kavya,Shivansh,Walunj,96.3,9
400848,Yashi,Chandan,Chauhan,96.27,9
400849,Karan,Chandan,Bhat,96.27,9
400850,Inaya,Aniket,Malhotra,96.26,9
400851,Zoya,Akash,Pandey,96.26,9
400852,Pari,Zorawar,Kulkarni,96.26,9
400853,Yamini,Nirav,Rastogi,96.26,9
400854,Dia,Abhinav,Chopra,96.26,9
400855,Devika,Shivansh,Edara,96.26,9
400856,Devansh,Eshan,Walunj,96.26,9
400857,Arjun,Mohit,Vaghela,96.26,9
400858,Mehak,Kunal,Arora,96.26,9
400859,Naman,Dhruv,Loya,96.26,9
400860,Vaishnavi,Siddharth,Patel,96.26,10
400861,Prisha,Akshay,Ranganathan,96.25,10
400862,Ritika,Tanish,Rao,96.23,10
400863,Prisha,Ayush,Dara,96.23,10
400864,Varun,Sahil,Mittal,96.21,10
400865,Advait,Shubham,Qazi,96.21,10
400866,Bhavya,Utkarsh,Mukherjee,96.19,10
400867,Aryan,Advait,Mazumdar,96.18,10
400868,Shreya,Mayank,Jain,96.18,10
400869,Ritvik,Yug,Nanda,96.18,10
400870,Nisha,Mayank,Zinta,96.18,10
400871,Chirag,Utkarsh,Bajaj,96.18,10
400872,Ishita,Advait,Ahuja,96.18,10
400873,Hitesh,Karan,Dey,96.18,10
